squareMeters,rooms,latitude,longitude,centreDistance,poiCount,price,date,hasParkingSpace_no,hasParkingSpace_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasSecurity_no,hasSecurity_yes,hasStorageRoom_no,hasStorageRoom_yes
71.0,3.0,52.19871849,20.97491778,4.16,14.0,5000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
25.0,1.0,52.24632739,21.00262849,1.63,30.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
33.0,1.0,52.25691222,21.03620319,3.58,45.0,3000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
46.0,2.0,52.2204,21.0194,1.66,68.0,2900,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
34.0,2.0,52.2605989216712,20.9682417465558,4.01,36.0,3600,November 2023,0,1,1,0,1,0,1,0,0,1,0,1
38.0,2.0,52.19388889,20.88611111,9.04,14.0,3700,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
70.0,2.0,52.2595909,20.9798182,3.5,27.0,6000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
38.0,2.0,52.3339221,20.9415191,12.12,19.0,2800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
70.0,3.0,52.2368036706698,21.0321932072436,2.03,29.0,5800,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
62.0,2.0,52.1783848318056,20.941228514272,7.29,9.0,4200,November 2023,0,1,1,0,1,0,1,0,0,1,1,0
40.0,2.0,52.1783848318056,20.9412285142716,7.29,9.0,3200,November 2023,0,1,1,0,1,0,1,0,0,1,1,0
28.0,2.0,52.23721,20.997169,0.75,77.0,2750,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
45.0,2.0,52.2615431565315,21.0454736685663,4.38,15.0,3950,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
52.0,2.0,52.2502636630237,21.0673317083226,4.81,19.0,3500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
107.0,4.0,52.2334415773179,21.0366714512107,2.26,19.0,10500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
33.3,1.0,52.24491,20.96333,3.11,16.0,2600,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
39.04,2.0,52.2045998,20.88410944,8.68,11.0,3000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
45.0,2.0,52.2036279272294,21.0376445820164,3.89,25.0,4000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
